Start Time, Mon Nov 7 12:54:06 GMT+0100 2022
Energy calibration,  Offset: 0, Slope: 2, Quadratic: 0
Live Time (s), 600
Real Time (s), 600.082092
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 2, 0
2, 4, 0
3, 6, 99
4, 8, 23
5, 10, 17
6, 12, 14
7, 14, 9
8, 16, 9
9, 18, 11
10, 20, 7
11, 22, 14
12, 24, 11
13, 26, 3
14, 28, 6
15, 30, 12
16, 32, 5
17, 34, 4
18, 36, 11
19, 38, 11
20, 40, 6
21, 42, 9
22, 44, 10
23, 46, 11
24, 48, 8
25, 50, 16
26, 52, 9
27, 54, 14
28, 56, 8
29, 58, 9
30, 60, 11
31, 62, 7
32, 64, 16
33, 66, 13
34, 68, 23
35, 70, 16
36, 72, 17
37, 74, 12
38, 76, 20
39, 78, 17
40, 80, 19
41, 82, 15
42, 84, 13
43, 86, 15
44, 88, 14
45, 90, 5
46, 92, 18
47, 94, 15
48, 96, 11
49, 98, 16
50, 100, 20
51, 102, 17
52, 104, 21
53, 106, 23
54, 108, 20
55, 110, 40
56, 112, 28
57, 114, 32
58, 116, 41
59, 118, 32
60, 120, 19
61, 122, 23
62, 124, 27
63, 126, 25
64, 128, 32
65, 130, 26
66, 132, 16
67, 134, 17
68, 136, 15
69, 138, 26
70, 140, 23
71, 142, 18
72, 144, 17
73, 146, 11
74, 148, 8
75, 150, 18
76, 152, 22
77, 154, 13
78, 156, 11
79, 158, 16
80, 160, 20
81, 162, 13
82, 164, 21
83, 166, 16
84, 168, 14
85, 170, 19
86, 172, 18
87, 174, 20
88, 176, 18
89, 178, 14
90, 180, 21
91, 182, 15
92, 184, 24
93, 186, 21
94, 188, 21
95, 190, 18
96, 192, 20
97, 194, 18
98, 196, 15
99, 198, 19
100, 200, 16
101, 202, 13
102, 204, 28
103, 206, 18
104, 208, 17
105, 210, 14
106, 212, 25
107, 214, 12
108, 216, 12
109, 218, 9
110, 220, 23
111, 222, 15
112, 224, 17
113, 226, 22
114, 228, 17
115, 230, 22
116, 232, 25
117, 234, 26
118, 236, 16
119, 238, 24
120, 240, 21
121, 242, 17
122, 244, 20
123, 246, 20
124, 248, 13
125, 250, 16
126, 252, 19
127, 254, 19
128, 256, 23
129, 258, 16
130, 260, 19
131, 262, 15
132, 264, 27
133, 266, 12
134, 268, 24
135, 270, 27
136, 272, 14
137, 274, 14
138, 276, 23
139, 278, 21
140, 280, 15
141, 282, 14
142, 284, 17
143, 286, 19
144, 288, 18
145, 290, 22
146, 292, 12
147, 294, 13
148, 296, 21
149, 298, 18
150, 300, 18
151, 302, 12
152, 304, 14
153, 306, 13
154, 308, 18
155, 310, 12
156, 312, 14
157, 314, 20
158, 316, 11
159, 318, 19
160, 320, 20
161, 322, 12
162, 324, 12
163, 326, 15
164, 328, 11
165, 330, 21
166, 332, 14
167, 334, 15
168, 336, 26
169, 338, 15
170, 340, 17
171, 342, 16
172, 344, 20
173, 346, 21
174, 348, 14
175, 350, 17
176, 352, 21
177, 354, 17
178, 356, 13
179, 358, 16
180, 360, 19
181, 362, 13
182, 364, 12
183, 366, 12
184, 368, 18
185, 370, 21
186, 372, 17
187, 374, 17
188, 376, 17
189, 378, 16
190, 380, 13
191, 382, 23
192, 384, 8
193, 386, 14
194, 388, 17
195, 390, 13
196, 392, 13
197, 394, 8
198, 396, 20
199, 398, 17
200, 400, 11
201, 402, 10
202, 404, 18
203, 406, 17
204, 408, 18
205, 410, 16
206, 412, 12
207, 414, 17
208, 416, 17
209, 418, 18
210, 420, 7
211, 422, 15
212, 424, 11
213, 426, 14
214, 428, 10
215, 430, 13
216, 432, 18
217, 434, 17
218, 436, 10
219, 438, 12
220, 440, 11
221, 442, 6
222, 444, 10
223, 446, 12
224, 448, 18
225, 450, 16
226, 452, 14
227, 454, 18
228, 456, 14
229, 458, 14
230, 460, 13
231, 462, 13
232, 464, 10
233, 466, 11
234, 468, 9
235, 470, 10
236, 472, 11
237, 474, 14
238, 476, 6
239, 478, 17
240, 480, 15
241, 482, 9
242, 484, 8
243, 486, 13
244, 488, 14
245, 490, 13
246, 492, 14
247, 494, 12
248, 496, 11
249, 498, 11
250, 500, 11
251, 502, 12
252, 504, 16
253, 506, 17
254, 508, 5
255, 510, 7
256, 512, 8
257, 514, 12
258, 516, 16
259, 518, 10
260, 520, 3
261, 522, 10
262, 524, 7
263, 526, 8
264, 528, 9
265, 530, 14
266, 532, 11
267, 534, 9
268, 536, 12
269, 538, 5
270, 540, 8
271, 542, 12
272, 544, 11
273, 546, 11
274, 548, 23
275, 550, 10
276, 552, 12
277, 554, 4
278, 556, 18
279, 558, 10
280, 560, 8
281, 562, 16
282, 564, 2
283, 566, 17
284, 568, 12
285, 570, 7
286, 572, 9
287, 574, 9
288, 576, 9
289, 578, 12
290, 580, 6
291, 582, 6
292, 584, 6
293, 586, 8
294, 588, 10
295, 590, 3
296, 592, 12
297, 594, 11
298, 596, 6
299, 598, 10
300, 600, 7
301, 602, 5
302, 604, 11
303, 606, 7
304, 608, 8
305, 610, 7
306, 612, 7
307, 614, 11
308, 616, 8
309, 618, 9
310, 620, 10
311, 622, 8
312, 624, 9
313, 626, 13
314, 628, 9
315, 630, 12
316, 632, 9
317, 634, 9
318, 636, 2
319, 638, 8
320, 640, 14
321, 642, 5
322, 644, 13
323, 646, 10
324, 648, 9
325, 650, 9
326, 652, 8
327, 654, 8
328, 656, 11
329, 658, 2
330, 660, 8
331, 662, 7
332, 664, 5
333, 666, 8
334, 668, 8
335, 670, 10
336, 672, 8
337, 674, 7
338, 676, 7
339, 678, 13
340, 680, 10
341, 682, 9
342, 684, 9
343, 686, 9
344, 688, 7
345, 690, 5
346, 692, 10
347, 694, 10
348, 696, 10
349, 698, 13
350, 700, 10
351, 702, 10
352, 704, 13
353, 706, 7
354, 708, 13
355, 710, 11
356, 712, 9
357, 714, 12
358, 716, 9
359, 718, 9
360, 720, 12
361, 722, 10
362, 724, 10
363, 726, 12
364, 728, 8
365, 730, 9
366, 732, 9
367, 734, 16
368, 736, 8
369, 738, 6
370, 740, 7
371, 742, 14
372, 744, 11
373, 746, 10
374, 748, 6
375, 750, 14
376, 752, 8
377, 754, 8
378, 756, 9
379, 758, 9
380, 760, 9
381, 762, 10
382, 764, 8
383, 766, 12
384, 768, 10
385, 770, 6
386, 772, 7
387, 774, 4
388, 776, 11
389, 778, 4
390, 780, 4
391, 782, 10
392, 784, 7
393, 786, 7
394, 788, 11
395, 790, 7
396, 792, 5
397, 794, 6
