Start Time, Mon Nov 7 13:20:18 GMT+0100 2022
Energy calibration,  Offset: 0, Slope: 2, Quadratic: 0
Live Time (s), 600
Real Time (s), 600.13184
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 2, 0
2, 4, 2
3, 6, 52
4, 8, 22
5, 10, 15
6, 12, 17
7, 14, 17
8, 16, 12
9, 18, 21
10, 20, 18
11, 22, 22
12, 24, 24
13, 26, 22
14, 28, 18
15, 30, 8
16, 32, 22
17, 34, 21
18, 36, 17
19, 38, 16
20, 40, 16
21, 42, 19
22, 44, 17
23, 46, 16
24, 48, 14
25, 50, 19
26, 52, 14
27, 54, 15
28, 56, 19
29, 58, 16
30, 60, 18
31, 62, 14
32, 64, 24
33, 66, 29
34, 68, 31
35, 70, 24
36, 72, 29
37, 74, 31
38, 76, 33
39, 78, 31
40, 80, 25
41, 82, 22
42, 84, 19
43, 86, 28
44, 88, 31
45, 90, 33
46, 92, 34
47, 94, 34
48, 96, 31
49, 98, 29
50, 100, 35
51, 102, 33
52, 104, 39
53, 106, 38
54, 108, 51
55, 110, 54
56, 112, 68
57, 114, 82
58, 116, 106
59, 118, 117
60, 120, 111
61, 122, 101
62, 124, 96
63, 126, 105
64, 128, 81
65, 130, 63
66, 132, 71
67, 134, 53
68, 136, 53
69, 138, 37
70, 140, 39
71, 142, 52
72, 144, 30
73, 146, 24
74, 148, 29
75, 150, 27
76, 152, 29
77, 154, 24
78, 156, 26
79, 158, 23
80, 160, 28
81, 162, 22
82, 164, 31
83, 166, 27
84, 168, 31
85, 170, 28
86, 172, 36
87, 174, 21
88, 176, 23
89, 178, 26
90, 180, 21
91, 182, 27
92, 184, 26
93, 186, 18
94, 188, 30
95, 190, 30
96, 192, 19
97, 194, 22
98, 196, 31
99, 198, 32
100, 200, 21
101, 202, 29
102, 204, 32
103, 206, 32
104, 208, 29
105, 210, 26
106, 212, 25
107, 214, 36
108, 216, 33
109, 218, 29
110, 220, 22
111, 222, 38
112, 224, 27
113, 226, 31
114, 228, 36
115, 230, 33
116, 232, 36
117, 234, 37
118, 236, 37
119, 238, 25
120, 240, 26
121, 242, 39
122, 244, 36
123, 246, 31
124, 248, 21
125, 250, 32
126, 252, 33
127, 254, 34
128, 256, 34
129, 258, 30
130, 260, 24
131, 262, 24
132, 264, 30
133, 266, 39
134, 268, 31
135, 270, 28
136, 272, 31
137, 274, 25
138, 276, 29
139, 278, 34
140, 280, 38
141, 282, 35
142, 284, 18
143, 286, 33
144, 288, 40
145, 290, 36
146, 292, 26
147, 294, 31
148, 296, 28
149, 298, 26
150, 300, 28
151, 302, 32
152, 304, 32
153, 306, 24
154, 308, 26
155, 310, 19
156, 312, 27
157, 314, 32
158, 316, 20
159, 318, 23
160, 320, 30
161, 322, 34
162, 324, 35
163, 326, 25
164, 328, 33
165, 330, 26
166, 332, 29
167, 334, 33
168, 336, 28
169, 338, 26
170, 340, 42
171, 342, 25
172, 344, 39
173, 346, 31
174, 348, 27
175, 350, 31
176, 352, 36
177, 354, 34
178, 356, 31
179, 358, 29
180, 360, 40
181, 362, 39
182, 364, 21
183, 366, 17
184, 368, 26
185, 370, 22
186, 372, 28
187, 374, 22
188, 376, 34
189, 378, 22
190, 380, 36
191, 382, 26
192, 384, 28
193, 386, 32
194, 388, 25
195, 390, 34
196, 392, 26
197, 394, 28
198, 396, 26
199, 398, 29
200, 400, 30
201, 402, 24
202, 404, 43
203, 406, 37
204, 408, 24
205, 410, 40
206, 412, 41
207, 414, 41
208, 416, 39
209, 418, 40
210, 420, 39
211, 422, 56
212, 424, 53
213, 426, 48
214, 428, 37
215, 430, 25
216, 432, 41
217, 434, 33
218, 436, 40
219, 438, 36
220, 440, 41
221, 442, 32
222, 444, 35
223, 446, 34
224, 448, 36
225, 450, 29
226, 452, 17
227, 454, 20
228, 456, 18
229, 458, 24
230, 460, 15
231, 462, 19
232, 464, 23
233, 466, 31
234, 468, 25
235, 470, 27
236, 472, 13
237, 474, 24
238, 476, 27
239, 478, 33
240, 480, 33
241, 482, 25
242, 484, 47
243, 486, 44
244, 488, 33
245, 490, 33
246, 492, 44
247, 494, 44
248, 496, 45
249, 498, 39
250, 500, 48
251, 502, 57
252, 504, 43
253, 506, 47
254, 508, 39
255, 510, 52
256, 512, 45
257, 514, 57
258, 516, 49
259, 518, 37
260, 520, 38
261, 522, 40
262, 524, 34
263, 526, 37
264, 528, 33
265, 530, 33
266, 532, 24
267, 534, 23
268, 536, 25
269, 538, 26
270, 540, 18
271, 542, 17
272, 544, 16
273, 546, 16
274, 548, 13
275, 550, 9
276, 552, 21
277, 554, 18
278, 556, 19
279, 558, 14
280, 560, 10
281, 562, 13
282, 564, 19
283, 566, 14
284, 568, 10
285, 570, 10
286, 572, 12
287, 574, 17
288, 576, 18
289, 578, 15
290, 580, 9
291, 582, 11
292, 584, 20
293, 586, 15
294, 588, 20
295, 590, 11
296, 592, 17
297, 594, 11
298, 596, 15
299, 598, 13
300, 600, 10
301, 602, 12
302, 604, 6
303, 606, 13
304, 608, 9
305, 610, 14
306, 612, 21
307, 614, 12
308, 616, 12
309, 618, 9
310, 620, 17
311, 622, 9
312, 624, 9
313, 626, 15
314, 628, 11
315, 630, 17
316, 632, 12
317, 634, 15
318, 636, 19
319, 638, 9
320, 640, 9
321, 642, 6
322, 644, 16
323, 646, 16
324, 648, 16
325, 650, 14
326, 652, 7
327, 654, 8
328, 656, 12
329, 658, 14
330, 660, 21
331, 662, 13
332, 664, 12
333, 666, 14
334, 668, 13
335, 670, 3
