Start Time, Mon Nov 7 12:42:36 GMT+0100 2022
Energy calibration,  Offset: 0, Slope: 2, Quadratic: 0
Live Time (s), 187.677162
Real Time (s), 192.375417
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 2, 0
2, 4, 0
3, 6, 3
4, 8, 416
5, 10, 730
6, 12, 672
7, 14, 704
8, 16, 752
9, 18, 734
10, 20, 721
11, 22, 812
12, 24, 809
13, 26, 799
14, 28, 872
15, 30, 889
16, 32, 908
17, 34, 966
18, 36, 1013
19, 38, 1074
20, 40, 1059
21, 42, 978
22, 44, 971
23, 46, 901
24, 48, 856
25, 50, 878
26, 52, 884
27, 54, 907
28, 56, 904
29, 58, 877
30, 60, 959
31, 62, 983
32, 64, 1033
33, 66, 1113
34, 68, 1274
35, 70, 1445
36, 72, 1717
37, 74, 1854
38, 76, 2007
39, 78, 1873
40, 80, 1774
41, 82, 1484
42, 84, 1314
43, 86, 1296
44, 88, 1339
45, 90, 1340
46, 92, 1369
47, 94, 1318
48, 96, 1277
49, 98, 1354
50, 100, 1414
51, 102, 1488
52, 104, 1570
53, 106, 1724
54, 108, 1924
55, 110, 2363
56, 112, 2869
57, 114, 3676
58, 116, 4489
59, 118, 5263
60, 120, 5912
61, 122, 6210
62, 124, 6224
63, 126, 5586
64, 128, 4870
65, 130, 4103
66, 132, 3395
67, 134, 2889
68, 136, 2877
69, 138, 2636
70, 140, 2590
71, 142, 2359
72, 144, 2047
73, 146, 1840
74, 148, 1527
75, 150, 1359
76, 152, 1253
77, 154, 1136
78, 156, 1046
79, 158, 1052
80, 160, 917
81, 162, 946
82, 164, 914
83, 166, 930
84, 168, 923
85, 170, 908
86, 172, 911
87, 174, 956
88, 176, 978
89, 178, 918
90, 180, 954
91, 182, 1012
92, 184, 976
93, 186, 900
94, 188, 953
95, 190, 976
96, 192, 1022
97, 194, 989
98, 196, 955
99, 198, 1029
100, 200, 1052
101, 202, 1010
102, 204, 1044
103, 206, 1077
104, 208, 1042
105, 210, 1066
106, 212, 1022
107, 214, 1084
108, 216, 1095
109, 218, 1137
110, 220, 1125
111, 222, 1138
112, 224, 1170
113, 226, 1176
114, 228, 1200
115, 230, 1122
116, 232, 1185
117, 234, 1082
118, 236, 1181
119, 238, 1158
120, 240, 1186
121, 242, 1104
122, 244, 1125
123, 246, 1091
124, 248, 1142
125, 250, 1106
126, 252, 1102
127, 254, 1157
128, 256, 1166
129, 258, 1151
130, 260, 1219
131, 262, 1353
132, 264, 1341
133, 266, 1482
134, 268, 1557
135, 270, 1634
136, 272, 1633
137, 274, 1696
138, 276, 1714
139, 278, 1773
140, 280, 1618
141, 282, 1701
142, 284, 1600
143, 286, 1543
144, 288, 1446
145, 290, 1357
146, 292, 1234
147, 294, 1180
148, 296, 1099
149, 298, 1050
150, 300, 1023
151, 302, 952
152, 304, 940
153, 306, 901
154, 308, 876
155, 310, 902
156, 312, 883
157, 314, 849
158, 316, 895
159, 318, 908
160, 320, 809
161, 322, 823
162, 324, 906
163, 326, 925
164, 328, 943
165, 330, 964
166, 332, 1063
167, 334, 1120
168, 336, 1130
169, 338, 1232
170, 340, 1398
171, 342, 1461
172, 344, 1575
173, 346, 1625
174, 348, 1705
175, 350, 1759
176, 352, 1800
177, 354, 1821
178, 356, 1803
179, 358, 1773
180, 360, 1703
181, 362, 1619
182, 364, 1512
183, 366, 1527
184, 368, 1356
185, 370, 1302
186, 372, 1244
187, 374, 1133
188, 376, 1135
189, 378, 951
190, 380, 950
191, 382, 889
192, 384, 883
193, 386, 823
194, 388, 857
195, 390, 911
196, 392, 888
197, 394, 958
198, 396, 933
199, 398, 1006
200, 400, 1071
201, 402, 1207
202, 404, 1326
203, 406, 1474
204, 408, 1516
205, 410, 1658
206, 412, 1871
207, 414, 2009
208, 416, 2187
209, 418, 2296
210, 420, 2356
211, 422, 2492
212, 424, 2644
213, 426, 2561
214, 428, 2747
215, 430, 2701
216, 432, 2584
217, 434, 2499
218, 436, 2469
219, 438, 2351
220, 440, 2145
221, 442, 1958
222, 444, 1920
223, 446, 1735
224, 448, 1608
225, 450, 1483
226, 452, 1314
227, 454, 1194
228, 456, 1074
229, 458, 972
230, 460, 928
231, 462, 925
232, 464, 852
233, 466, 918
234, 468, 943
235, 470, 1007
236, 472, 1013
237, 474, 1193
238, 476, 1294
239, 478, 1407
240, 480, 1494
241, 482, 1708
242, 484, 1929
243, 486, 2166
244, 488, 2425
245, 490, 2471
246, 492, 2659
247, 494, 2875
248, 496, 3070
249, 498, 3166
250, 500, 3202
251, 502, 3351
252, 504, 3401
253, 506, 3482
254, 508, 3493
255, 510, 3430
256, 512, 3385
257, 514, 3298
258, 516, 3127
259, 518, 3019
260, 520, 2808
261, 522, 2585
262, 524, 2436
263, 526, 2158
264, 528, 2040
265, 530, 1754
266, 532, 1585
267, 534, 1405
268, 536, 1268
269, 538, 1094
270, 540, 938
271, 542, 894
272, 544, 731
273, 546, 671
274, 548, 600
275, 550, 586
276, 552, 504
277, 554, 454
278, 556, 486
279, 558, 467
280, 560, 404
281, 562, 439
282, 564, 454
283, 566, 423
284, 568, 414
285, 570, 420
286, 572, 371
287, 574, 388
288, 576, 399
289, 578, 398
290, 580, 387
291, 582, 346
292, 584, 359
293, 586, 350
294, 588, 342
295, 590, 413
296, 592, 350
297, 594, 366
298, 596, 300
299, 598, 362
300, 600, 308
301, 602, 301
302, 604, 297
303, 606, 310
304, 608, 284
305, 610, 310
306, 612, 299
307, 614, 288
308, 616, 310
309, 618, 301
310, 620, 291
311, 622, 282
312, 624, 291
313, 626, 296
314, 628, 285
315, 630, 300
316, 632, 296
317, 634, 282
318, 636, 268
319, 638, 293
320, 640, 287
321, 642, 286
322, 644, 308
323, 646, 270
324, 648, 273
325, 650, 299
326, 652, 285
327, 654, 268
328, 656, 267
329, 658, 279
330, 660, 321
331, 662, 290
332, 664, 280
333, 666, 292
334, 668, 301
335, 670, 313
336, 672, 279
337, 674, 289
338, 676, 281
339, 678, 283
340, 680, 321
341, 682, 304
342, 684, 302
343, 686, 260
344, 688, 297
345, 690, 275
346, 692, 287
347, 694, 281
348, 696, 258
349, 698, 281
350, 700, 259
351, 702, 284
352, 704, 283
353, 706, 279
354, 708, 297
355, 710, 277
356, 712, 269
357, 714, 276
358, 716, 280
359, 718, 267
360, 720, 261
361, 722, 282
362, 724, 239
363, 726, 267
364, 728, 243
365, 730, 267
366, 732, 262
367, 734, 254
368, 736, 260
369, 738, 264
370, 740, 233
371, 742, 279
372, 744, 270
373, 746, 261
