Start Time, Mon Nov 7 12:37:49 GMT+0100 2022
Energy calibration,  Offset: 0, Slope: 2, Quadratic: 0
Live Time (s), 127.537086
Real Time (s), 127.978867
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 2, 0
2, 4, 0
3, 6, 7
4, 8, 38
5, 10, 48
6, 12, 53
7, 14, 37
8, 16, 56
9, 18, 57
10, 20, 39
11, 22, 45
12, 24, 39
13, 26, 38
14, 28, 59
15, 30, 57
16, 32, 59
17, 34, 66
18, 36, 54
19, 38, 59
20, 40, 65
21, 42, 68
22, 44, 60
23, 46, 47
24, 48, 63
25, 50, 61
26, 52, 55
27, 54, 66
28, 56, 54
29, 58, 57
30, 60, 67
31, 62, 45
32, 64, 54
33, 66, 73
34, 68, 81
35, 70, 72
36, 72, 55
37, 74, 81
38, 76, 83
39, 78, 66
40, 80, 74
41, 82, 83
42, 84, 64
43, 86, 62
44, 88, 83
45, 90, 63
46, 92, 68
47, 94, 81
48, 96, 89
49, 98, 83
50, 100, 89
51, 102, 89
52, 104, 101
53, 106, 110
54, 108, 99
55, 110, 124
56, 112, 121
57, 114, 127
58, 116, 171
59, 118, 144
60, 120, 150
61, 122, 143
62, 124, 155
63, 126, 119
64, 128, 124
65, 130, 110
66, 132, 112
67, 134, 119
68, 136, 102
69, 138, 111
70, 140, 109
71, 142, 82
72, 144, 109
73, 146, 96
74, 148, 90
75, 150, 100
76, 152, 98
77, 154, 101
78, 156, 107
79, 158, 90
80, 160, 86
81, 162, 87
82, 164, 97
83, 166, 96
84, 168, 110
85, 170, 75
86, 172, 82
87, 174, 82
88, 176, 93
89, 178, 85
90, 180, 77
91, 182, 80
92, 184, 91
93, 186, 88
94, 188, 102
95, 190, 75
96, 192, 89
97, 194, 98
98, 196, 85
99, 198, 98
100, 200, 81
101, 202, 73
102, 204, 91
103, 206, 73
104, 208, 78
105, 210, 90
106, 212, 93
107, 214, 81
108, 216, 91
109, 218, 94
110, 220, 75
111, 222, 90
112, 224, 91
113, 226, 90
114, 228, 66
115, 230, 94
116, 232, 69
117, 234, 69
118, 236, 88
119, 238, 80
120, 240, 90
121, 242, 92
122, 244, 91
123, 246, 87
124, 248, 79
125, 250, 80
126, 252, 93
127, 254, 78
128, 256, 82
129, 258, 80
130, 260, 83
131, 262, 85
132, 264, 80
133, 266, 76
134, 268, 99
135, 270, 77
136, 272, 65
137, 274, 110
138, 276, 54
139, 278, 79
140, 280, 95
141, 282, 78
142, 284, 77
143, 286, 91
144, 288, 93
145, 290, 63
146, 292, 78
147, 294, 85
148, 296, 83
149, 298, 77
150, 300, 98
151, 302, 94
152, 304, 92
153, 306, 81
154, 308, 80
155, 310, 98
156, 312, 66
157, 314, 69
158, 316, 87
159, 318, 77
160, 320, 68
161, 322, 83
162, 324, 87
163, 326, 77
164, 328, 83
165, 330, 61
166, 332, 62
167, 334, 73
168, 336, 75
169, 338, 67
170, 340, 74
171, 342, 92
172, 344, 86
173, 346, 76
174, 348, 65
175, 350, 89
176, 352, 89
177, 354, 67
178, 356, 75
179, 358, 88
180, 360, 80
181, 362, 76
182, 364, 72
183, 366, 55
184, 368, 64
185, 370, 65
186, 372, 68
187, 374, 85
188, 376, 80
189, 378, 63
190, 380, 64
191, 382, 57
192, 384, 61
193, 386, 59
194, 388, 68
195, 390, 74
196, 392, 75
197, 394, 63
198, 396, 71
199, 398, 51
200, 400, 62
201, 402, 81
202, 404, 66
203, 406, 64
204, 408, 58
205, 410, 69
206, 412, 65
207, 414, 61
208, 416, 71
209, 418, 71
210, 420, 66
211, 422, 61
212, 424, 72
213, 426, 72
214, 428, 69
215, 430, 64
216, 432, 60
217, 434, 65
218, 436, 64
219, 438, 51
220, 440, 54
221, 442, 72
222, 444, 75
223, 446, 59
224, 448, 56
225, 450, 62
226, 452, 63
227, 454, 70
228, 456, 56
229, 458, 58
230, 460, 61
231, 462, 80
232, 464, 51
233, 466, 65
234, 468, 63
235, 470, 41
236, 472, 49
237, 474, 47
238, 476, 51
239, 478, 54
240, 480, 54
241, 482, 54
242, 484, 37
243, 486, 53
244, 488, 40
245, 490, 44
246, 492, 44
247, 494, 51
248, 496, 54
249, 498, 42
250, 500, 48
251, 502, 26
252, 504, 28
253, 506, 38
254, 508, 38
255, 510, 38
256, 512, 42
257, 514, 41
258, 516, 42
259, 518, 32
260, 520, 36
261, 522, 34
262, 524, 33
263, 526, 35
264, 528, 31
265, 530, 23
266, 532, 26
267, 534, 37
268, 536, 30
269, 538, 24
270, 540, 29
271, 542, 27
272, 544, 31
273, 546, 36
274, 548, 20
275, 550, 28
276, 552, 22
277, 554, 25
278, 556, 16
279, 558, 24
280, 560, 32
281, 562, 30
282, 564, 20
283, 566, 25
284, 568, 27
285, 570, 24
286, 572, 26
287, 574, 26
288, 576, 17
289, 578, 38
290, 580, 25
291, 582, 35
292, 584, 21
293, 586, 24
294, 588, 28
295, 590, 23
296, 592, 24
297, 594, 21
298, 596, 22
299, 598, 11
300, 600, 25
301, 602, 27
302, 604, 28
303, 606, 27
304, 608, 27
305, 610, 11
306, 612, 20
307, 614, 27
308, 616, 30
309, 618, 19
310, 620, 18
311, 622, 28
312, 624, 23
313, 626, 23
314, 628, 18
315, 630, 23
316, 632, 25
317, 634, 23
318, 636, 30
319, 638, 28
320, 640, 25
321, 642, 23
322, 644, 21
323, 646, 23
324, 648, 27
325, 650, 32
326, 652, 39
327, 654, 37
328, 656, 28
329, 658, 47
330, 660, 36
331, 662, 46
332, 664, 60
333, 666, 75
334, 668, 85
335, 670, 78
336, 672, 83
337, 674, 97
338, 676, 145
339, 678, 137
340, 680, 135
341, 682, 164
342, 684, 227
343, 686, 203
344, 688, 216
345, 690, 282
346, 692, 288
347, 694, 290
348, 696, 361
349, 698, 364
350, 700, 431
351, 702, 459
352, 704, 398
353, 706, 505
354, 708, 497
355, 710, 482
356, 712, 524
357, 714, 540
358, 716, 604
359, 718, 599
360, 720, 577
361, 722, 627
362, 724, 589
363, 726, 590
364, 728, 597
365, 730, 610
366, 732, 557
367, 734, 503
368, 736, 527
369, 738, 449
370, 740, 480
371, 742, 432
372, 744, 404
373, 746, 381
374, 748, 322
375, 750, 282
376, 752, 268
377, 754, 251
378, 756, 214
379, 758, 191
380, 760, 173
381, 762, 145
382, 764, 128
383, 766, 105
384, 768, 113
385, 770, 81
386, 772, 66
387, 774, 58
388, 776, 32
389, 778, 38
390, 780, 35
391, 782, 39
392, 784, 27
393, 786, 33
394, 788, 33
395, 790, 20
396, 792, 27
397, 794, 19
