Start Time, Mon Nov 7 12:32:33 GMT+0100 2022
Energy calibration,  Offset: 0, Slope: 2, Quadratic: 0
Live Time (s), 43.863204
Real Time (s), 45.482174
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 2, 0
2, 4, 0
3, 6, 1
4, 8, 184
5, 10, 382
6, 12, 442
7, 14, 409
8, 16, 327
9, 18, 272
10, 20, 264
11, 22, 256
12, 24, 293
13, 26, 273
14, 28, 245
15, 30, 244
16, 32, 291
17, 34, 286
18, 36, 265
19, 38, 334
20, 40, 322
21, 42, 397
22, 44, 507
23, 46, 819
24, 48, 1364
25, 50, 2169
26, 52, 2882
27, 54, 2795
28, 56, 2318
29, 58, 1656
30, 60, 1126
31, 62, 766
32, 64, 562
33, 66, 355
34, 68, 312
35, 70, 312
36, 72, 286
37, 74, 297
38, 76, 289
39, 78, 292
40, 80, 296
41, 82, 312
42, 84, 300
43, 86, 271
44, 88, 304
45, 90, 288
46, 92, 286
47, 94, 311
48, 96, 294
49, 98, 286
50, 100, 335
51, 102, 281
52, 104, 280
53, 106, 328
54, 108, 304
55, 110, 336
56, 112, 336
57, 114, 369
58, 116, 333
59, 118, 366
60, 120, 339
61, 122, 310
62, 124, 324
63, 126, 340
64, 128, 338
65, 130, 319
66, 132, 316
67, 134, 331
68, 136, 326
69, 138, 336
70, 140, 298
71, 142, 315
72, 144, 287
73, 146, 288
74, 148, 268
75, 150, 293
76, 152, 304
77, 154, 298
78, 156, 301
79, 158, 281
80, 160, 295
81, 162, 295
82, 164, 288
83, 166, 294
84, 168, 282
85, 170, 289
86, 172, 295
87, 174, 293
88, 176, 297
89, 178, 292
90, 180, 281
91, 182, 298
92, 184, 289
93, 186, 323
94, 188, 286
95, 190, 258
96, 192, 289
97, 194, 303
98, 196, 277
99, 198, 284
100, 200, 290
101, 202, 278
102, 204, 280
103, 206, 282
104, 208, 287
105, 210, 304
106, 212, 271
107, 214, 309
108, 216, 297
109, 218, 276
110, 220, 284
111, 222, 259
112, 224, 271
113, 226, 303
114, 228, 287
115, 230, 309
116, 232, 312
117, 234, 297
118, 236, 258
119, 238, 311
120, 240, 263
121, 242, 285
122, 244, 293
123, 246, 298
124, 248, 277
125, 250, 320
126, 252, 293
127, 254, 299
128, 256, 301
129, 258, 306
130, 260, 289
131, 262, 346
132, 264, 327
133, 266, 321
134, 268, 346
135, 270, 337
136, 272, 334
137, 274, 348
138, 276, 402
139, 278, 367
140, 280, 357
141, 282, 387
142, 284, 397
143, 286, 406
144, 288, 386
145, 290, 391
146, 292, 389
147, 294, 405
148, 296, 373
149, 298, 377
150, 300, 357
151, 302, 376
152, 304, 336
153, 306, 377
154, 308, 371
155, 310, 368
156, 312, 370
157, 314, 358
158, 316, 394
159, 318, 390
160, 320, 371
161, 322, 362
162, 324, 362
163, 326, 334
164, 328, 304
165, 330, 327
166, 332, 327
167, 334, 334
168, 336, 307
169, 338, 336
170, 340, 368
171, 342, 349
172, 344, 304
173, 346, 319
174, 348, 313
175, 350, 345
176, 352, 341
177, 354, 275
178, 356, 326
179, 358, 285
180, 360, 302
181, 362, 324
182, 364, 323
183, 366, 314
184, 368, 307
185, 370, 300
186, 372, 305
187, 374, 294
188, 376, 302
189, 378, 294
190, 380, 339
191, 382, 294
192, 384, 289
193, 386, 310
194, 388, 304
195, 390, 297
196, 392, 272
197, 394, 279
198, 396, 269
199, 398, 313
200, 400, 297
201, 402, 286
202, 404, 267
203, 406, 291
204, 408, 304
205, 410, 263
206, 412, 306
207, 414, 299
208, 416, 299
209, 418, 299
210, 420, 276
211, 422, 306
212, 424, 297
213, 426, 266
214, 428, 298
215, 430, 301
216, 432, 292
217, 434, 307
218, 436, 267
219, 438, 270
220, 440, 301
221, 442, 287
222, 444, 297
223, 446, 273
224, 448, 281
225, 450, 312
226, 452, 283
227, 454, 295
228, 456, 308
229, 458, 252
230, 460, 253
231, 462, 276
232, 464, 283
233, 466, 255
234, 468, 264
235, 470, 246
236, 472, 274
237, 474, 274
238, 476, 300
239, 478, 297
240, 480, 248
241, 482, 282
242, 484, 287
243, 486, 261
244, 488, 260
245, 490, 274
246, 492, 245
247, 494, 275
248, 496, 312
249, 498, 273
250, 500, 285
251, 502, 272
252, 504, 298
253, 506, 255
254, 508, 275
255, 510, 275
256, 512, 272
257, 514, 277
258, 516, 292
259, 518, 289
260, 520, 289
261, 522, 251
262, 524, 291
263, 526, 288
264, 528, 282
265, 530, 252
266, 532, 267
267, 534, 257
268, 536, 275
269, 538, 253
270, 540, 300
271, 542, 274
272, 544, 264
273, 546, 270
274, 548, 250
275, 550, 277
276, 552, 285
277, 554, 282
278, 556, 234
279, 558, 254
280, 560, 274
281, 562, 249
282, 564, 307
283, 566, 267
284, 568, 266
285, 570, 295
286, 572, 321
287, 574, 291
288, 576, 262
289, 578, 312
290, 580, 243
291, 582, 281
292, 584, 300
293, 586, 274
294, 588, 286
295, 590, 280
296, 592, 269
297, 594, 284
298, 596, 289
299, 598, 298
300, 600, 280
301, 602, 311
302, 604, 272
303, 606, 291
304, 608, 283
305, 610, 300
306, 612, 268
307, 614, 312
308, 616, 287
309, 618, 311
310, 620, 295
311, 622, 286
312, 624, 293
313, 626, 259
314, 628, 278
315, 630, 274
316, 632, 288
317, 634, 269
318, 636, 264
319, 638, 248
320, 640, 272
321, 642, 250
322, 644, 261
323, 646, 239
324, 648, 268
325, 650, 241
326, 652, 212
327, 654, 234
328, 656, 211
329, 658, 217
330, 660, 163
331, 662, 195
332, 664, 180
333, 666, 182
334, 668, 188
335, 670, 173
336, 672, 158
337, 674, 161
338, 676, 128
339, 678, 144
340, 680, 130
341, 682, 117
342, 684, 119
343, 686, 119
344, 688, 139
345, 690, 105
346, 692, 111
347, 694, 113
348, 696, 109
349, 698, 96
350, 700, 90
351, 702, 91
352, 704, 68
353, 706, 90
354, 708, 84
355, 710, 67
356, 712, 65
357, 714, 72
358, 716, 57
359, 718, 74
360, 720, 71
361, 722, 66
362, 724, 77
363, 726, 78
364, 728, 60
365, 730, 52
366, 732, 46
367, 734, 49
368, 736, 60
369, 738, 39
370, 740, 46
371, 742, 49
372, 744, 50
373, 746, 49
374, 748, 34
375, 750, 54
376, 752, 45
377, 754, 53
378, 756, 54
379, 758, 53
380, 760, 50
381, 762, 52
382, 764, 43
383, 766, 42
384, 768, 43
385, 770, 57
386, 772, 38
387, 774, 41
388, 776, 34
389, 778, 47
390, 780, 39
391, 782, 53
392, 784, 44
393, 786, 38
394, 788, 38
395, 790, 38
396, 792, 46
