Start Time, Fri Nov 18 12:37:33 GMT+0100 2005
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 1195.3305407999999
Real Time (s), 1200.0005408
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 1, 0
2, 2, 0
3, 3, 0
4, 4, 0
5, 5, 0
6, 6, 0
7, 7, 0
8, 8, 0
9, 9, 0
10, 10, 6
11, 11, 34
12, 12, 34
13, 13, 26
14, 14, 34
15, 15, 31
16, 16, 27
17, 17, 18
18, 18, 23
19, 19, 29
20, 20, 26
21, 21, 26
22, 22, 37
23, 23, 26
24, 24, 29
25, 25, 27
26, 26, 21
27, 27, 20
28, 28, 24
29, 29, 29
30, 30, 36
31, 31, 27
32, 32, 31
33, 33, 22
34, 34, 27
35, 35, 25
36, 36, 28
37, 37, 30
38, 38, 38
39, 39, 39
40, 40, 35
41, 41, 36
42, 42, 56
43, 43, 47
44, 44, 66
45, 45, 44
46, 46, 50
47, 47, 36
48, 48, 47
49, 49, 34
50, 50, 32
51, 51, 38
52, 52, 41
53, 53, 38
54, 54, 34
55, 55, 44
56, 56, 52
57, 57, 47
58, 58, 49
59, 59, 49
60, 60, 66
61, 61, 81
62, 62, 84
63, 63, 90
64, 64, 99
65, 65, 96
66, 66, 116
67, 67, 102
68, 68, 88
69, 69, 63
70, 70, 68
71, 71, 74
72, 72, 56
73, 73, 74
74, 74, 67
75, 75, 63
76, 76, 61
77, 77, 53
78, 78, 52
79, 79, 48
80, 80, 57
81, 81, 36
82, 82, 71
83, 83, 50
84, 84, 31
85, 85, 51
86, 86, 41
87, 87, 41
88, 88, 39
89, 89, 37
90, 90, 42
91, 91, 45
92, 92, 50
93, 93, 53
94, 94, 37
95, 95, 57
96, 96, 51
97, 97, 36
98, 98, 56
99, 99, 51
100, 100, 53
101, 101, 53
102, 102, 42
103, 103, 49
104, 104, 56
105, 105, 51
106, 106, 54
107, 107, 59
108, 108, 41
109, 109, 49
110, 110, 52
111, 111, 48
112, 112, 45
113, 113, 51
114, 114, 51
115, 115, 64
116, 116, 47
117, 117, 41
118, 118, 42
119, 119, 49
120, 120, 35
121, 121, 49
122, 122, 52
123, 123, 58
124, 124, 51
125, 125, 50
126, 126, 45
127, 127, 44
128, 128, 51
129, 129, 46
130, 130, 38
131, 131, 73
132, 132, 50
133, 133, 49
134, 134, 53
135, 135, 48
136, 136, 51
137, 137, 49
138, 138, 54
139, 139, 43
140, 140, 62
141, 141, 59
142, 142, 42
143, 143, 48
144, 144, 47
145, 145, 55
146, 146, 50
147, 147, 37
148, 148, 51
149, 149, 41
150, 150, 51
151, 151, 54
152, 152, 33
153, 153, 45
154, 154, 47
155, 155, 53
156, 156, 41
157, 157, 38
158, 158, 49
159, 159, 46
160, 160, 50
161, 161, 48
162, 162, 44
163, 163, 38
164, 164, 36
165, 165, 45
166, 166, 41
167, 167, 38
168, 168, 55
169, 169, 38
170, 170, 42
171, 171, 55
172, 172, 42
173, 173, 29
174, 174, 49
175, 175, 35
176, 176, 53
177, 177, 48
178, 178, 37
179, 179, 45
180, 180, 42
181, 181, 45
182, 182, 39
183, 183, 41
184, 184, 41
185, 185, 51
186, 186, 36
187, 187, 41
188, 188, 40
189, 189, 53
190, 190, 39
191, 191, 40
192, 192, 31
193, 193, 28
194, 194, 35
195, 195, 51
196, 196, 49
197, 197, 35
198, 198, 33
199, 199, 32
200, 200, 39
201, 201, 34
202, 202, 34
203, 203, 24
204, 204, 40
205, 205, 40
206, 206, 41
207, 207, 32
208, 208, 45
209, 209, 31
210, 210, 28
211, 211, 40
212, 212, 37
213, 213, 29
214, 214, 34
215, 215, 25
216, 216, 28
217, 217, 31
218, 218, 38
219, 219, 32
220, 220, 38
221, 221, 40
222, 222, 38
223, 223, 29
224, 224, 29
225, 225, 37
226, 226, 25
227, 227, 44
228, 228, 35
229, 229, 29
230, 230, 27
231, 231, 40
232, 232, 35
233, 233, 34
234, 234, 37
235, 235, 37
236, 236, 34
237, 237, 31
238, 238, 43
239, 239, 27
240, 240, 28
241, 241, 33
242, 242, 24
243, 243, 28
244, 244, 39
245, 245, 26
246, 246, 26
247, 247, 46
248, 248, 29
249, 249, 32
250, 250, 25
251, 251, 31
252, 252, 33
253, 253, 33
254, 254, 24
255, 255, 30
256, 256, 29
257, 257, 26
258, 258, 34
259, 259, 27
260, 260, 34
261, 261, 23
262, 262, 30
263, 263, 28
264, 264, 29
265, 265, 32
266, 266, 31
267, 267, 24
268, 268, 26
269, 269, 26
270, 270, 20
271, 271, 32
272, 272, 33
273, 273, 23
274, 274, 26
275, 275, 17
276, 276, 24
277, 277, 26
278, 278, 23
279, 279, 28
280, 280, 23
281, 281, 28
282, 282, 24
283, 283, 24
284, 284, 21
285, 285, 24
286, 286, 23
287, 287, 29
288, 288, 24
289, 289, 17
290, 290, 25
291, 291, 18
292, 292, 20
293, 293, 19
294, 294, 20
295, 295, 27
296, 296, 17
297, 297, 17
298, 298, 21
299, 299, 22
300, 300, 19
301, 301, 24
302, 302, 20
303, 303, 24
304, 304, 23
305, 305, 19
306, 306, 28
307, 307, 26
308, 308, 23
309, 309, 26
310, 310, 22
311, 311, 19
312, 312, 23
313, 313, 19
314, 314, 20
315, 315, 24
316, 316, 14
317, 317, 23
318, 318, 22
319, 319, 16
320, 320, 18
321, 321, 21
322, 322, 22
323, 323, 25
324, 324, 21
325, 325, 28
326, 326, 17
327, 327, 20
328, 328, 26
329, 329, 26
330, 330, 29
331, 331, 35
332, 332, 20
333, 333, 25
334, 334, 24
335, 335, 24
336, 336, 28
337, 337, 22
338, 338, 23
339, 339, 26
340, 340, 22
341, 341, 21
342, 342, 29
343, 343, 21
344, 344, 34
345, 345, 19
346, 346, 24
347, 347, 24
348, 348, 22
349, 349, 13
350, 350, 22
351, 351, 22
352, 352, 24
353, 353, 18
354, 354, 24
355, 355, 23
356, 356, 23
357, 357, 27
358, 358, 24
359, 359, 21
360, 360, 25
361, 361, 27
362, 362, 35
363, 363, 12
364, 364, 26
365, 365, 19
366, 366, 20
367, 367, 22
368, 368, 27
369, 369, 19
370, 370, 25
371, 371, 22
372, 372, 26
373, 373, 22
374, 374, 32
375, 375, 24
376, 376, 18
377, 377, 26
378, 378, 15
379, 379, 18
380, 380, 19
381, 381, 23
382, 382, 23
383, 383, 26
384, 384, 21
385, 385, 18
386, 386, 18
387, 387, 23
388, 388, 21
389, 389, 18
390, 390, 14
391, 391, 12
392, 392, 18
393, 393, 26
394, 394, 19
395, 395, 19
396, 396, 20
397, 397, 15
398, 398, 16
399, 399, 13
400, 400, 16
401, 401, 17
402, 402, 16
403, 403, 19
404, 404, 19
405, 405, 18
406, 406, 23
407, 407, 17
408, 408, 17
409, 409, 21
410, 410, 15
411, 411, 13
412, 412, 18
413, 413, 15
414, 414, 27
415, 415, 15
416, 416, 16
417, 417, 22
418, 418, 14
419, 419, 17
420, 420, 18
421, 421, 22
422, 422, 14
