Start Time, Fri Nov 18 12:13:19 GMT+0100 2005
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 1195.3105408
Real Time (s), 1200.0005408
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 1, 0
2, 2, 0
3, 3, 0
4, 4, 0
5, 5, 0
6, 6, 0
7, 7, 0
8, 8, 0
9, 9, 0
10, 10, 48
11, 11, 185
12, 12, 163
13, 13, 130
14, 14, 166
15, 15, 145
16, 16, 169
17, 17, 182
18, 18, 168
19, 19, 186
20, 20, 194
21, 21, 201
22, 22, 188
23, 23, 177
24, 24, 200
25, 25, 179
26, 26, 198
27, 27, 220
28, 28, 211
29, 29, 200
30, 30, 200
31, 31, 193
32, 32, 224
33, 33, 222
34, 34, 221
35, 35, 225
36, 36, 269
37, 37, 261
38, 38, 305
39, 39, 311
40, 40, 321
41, 41, 374
42, 42, 386
43, 43, 364
44, 44, 380
45, 45, 369
46, 46, 369
47, 47, 366
48, 48, 363
49, 49, 379
50, 50, 339
51, 51, 386
52, 52, 394
53, 53, 375
54, 54, 420
55, 55, 405
56, 56, 411
57, 57, 517
58, 58, 576
59, 59, 713
60, 60, 784
61, 61, 995
62, 62, 1205
63, 63, 1432
64, 64, 1589
65, 65, 1765
66, 66, 1687
67, 67, 1583
68, 68, 1470
69, 69, 1229
70, 70, 1007
71, 71, 881
72, 72, 829
73, 73, 721
74, 74, 670
75, 75, 607
76, 76, 510
77, 77, 427
78, 78, 361
79, 79, 324
80, 80, 288
81, 81, 245
82, 82, 204
83, 83, 214
84, 84, 212
85, 85, 202
86, 86, 203
87, 87, 236
88, 88, 215
89, 89, 193
90, 90, 222
91, 91, 208
92, 92, 237
93, 93, 196
94, 94, 214
95, 95, 251
96, 96, 230
97, 97, 231
98, 98, 232
99, 99, 252
100, 100, 213
101, 101, 232
102, 102, 218
103, 103, 252
104, 104, 266
105, 105, 260
106, 106, 228
107, 107, 249
108, 108, 265
109, 109, 278
110, 110, 264
111, 111, 275
112, 112, 283
113, 113, 263
114, 114, 294
115, 115, 289
116, 116, 279
117, 117, 304
118, 118, 299
119, 119, 289
120, 120, 309
121, 121, 325
122, 122, 275
123, 123, 315
124, 124, 302
125, 125, 282
126, 126, 282
127, 127, 281
128, 128, 322
129, 129, 274
130, 130, 272
131, 131, 252
132, 132, 291
133, 133, 274
134, 134, 287
135, 135, 262
136, 136, 290
137, 137, 300
138, 138, 272
139, 139, 298
140, 140, 279
141, 141, 282
142, 142, 271
143, 143, 269
144, 144, 262
145, 145, 265
146, 146, 293
147, 147, 242
148, 148, 272
149, 149, 269
150, 150, 272
151, 151, 266
152, 152, 278
153, 153, 253
154, 154, 255
155, 155, 292
156, 156, 299
157, 157, 252
158, 158, 239
159, 159, 271
160, 160, 226
161, 161, 248
162, 162, 259
163, 163, 250
164, 164, 259
165, 165, 287
166, 166, 262
167, 167, 270
168, 168, 277
169, 169, 306
170, 170, 328
171, 171, 329
172, 172, 385
173, 173, 416
174, 174, 387
175, 175, 414
176, 176, 400
177, 177, 450
178, 178, 477
179, 179, 484
180, 180, 491
181, 181, 473
182, 182, 518
183, 183, 422
184, 184, 428
185, 185, 399
186, 186, 400
187, 187, 336
188, 188, 307
189, 189, 337
190, 190, 295
191, 191, 290
192, 192, 247
193, 193, 265
194, 194, 251
195, 195, 248
196, 196, 247
197, 197, 240
198, 198, 265
199, 199, 252
200, 200, 270
201, 201, 303
202, 202, 333
203, 203, 340
204, 204, 374
205, 205, 371
206, 206, 442
207, 207, 488
208, 208, 524
209, 209, 541
210, 210, 566
211, 211, 629
212, 212, 637
213, 213, 658
214, 214, 687
215, 215, 720
216, 216, 659
217, 217, 679
218, 218, 678
219, 219, 673
220, 220, 615
221, 221, 571
222, 222, 537
223, 223, 506
224, 224, 467
225, 225, 393
226, 226, 353
227, 227, 306
228, 228, 314
229, 229, 260
230, 230, 251
231, 231, 289
232, 232, 256
233, 233, 215
234, 234, 246
235, 235, 234
236, 236, 242
237, 237, 272
238, 238, 290
239, 239, 317
240, 240, 381
241, 241, 414
242, 242, 438
243, 243, 448
244, 244, 528
245, 245, 598
246, 246, 691
247, 247, 700
248, 248, 744
249, 249, 751
250, 250, 766
251, 251, 851
252, 252, 812
253, 253, 877
254, 254, 854
255, 255, 902
256, 256, 849
257, 257, 873
258, 258, 849
259, 259, 803
260, 260, 746
261, 261, 713
262, 262, 625
263, 263, 590
264, 264, 553
265, 265, 495
266, 266, 438
267, 267, 384
268, 268, 321
269, 269, 296
270, 270, 280
271, 271, 218
272, 272, 220
273, 273, 196
274, 274, 178
275, 275, 161
276, 276, 152
277, 277, 146
278, 278, 127
279, 279, 120
280, 280, 136
281, 281, 123
282, 282, 133
283, 283, 111
284, 284, 109
285, 285, 114
286, 286, 120
287, 287, 128
288, 288, 117
289, 289, 122
290, 290, 93
291, 291, 115
292, 292, 89
293, 293, 100
294, 294, 85
295, 295, 97
296, 296, 103
297, 297, 114
298, 298, 95
299, 299, 73
300, 300, 93
301, 301, 100
302, 302, 82
303, 303, 84
304, 304, 93
305, 305, 84
306, 306, 79
307, 307, 84
308, 308, 84
309, 309, 113
310, 310, 83
311, 311, 90
312, 312, 98
313, 313, 87
314, 314, 92
315, 315, 76
316, 316, 97
317, 317, 76
318, 318, 86
319, 319, 106
320, 320, 83
321, 321, 75
322, 322, 90
323, 323, 80
324, 324, 97
325, 325, 84
326, 326, 94
327, 327, 72
328, 328, 88
329, 329, 94
330, 330, 88
331, 331, 83
332, 332, 95
333, 333, 78
334, 334, 88
335, 335, 98
336, 336, 108
337, 337, 86
338, 338, 93
339, 339, 95
340, 340, 87
341, 341, 81
342, 342, 87
343, 343, 102
344, 344, 84
345, 345, 84
346, 346, 77
347, 347, 93
348, 348, 80
349, 349, 89
350, 350, 78
351, 351, 83
352, 352, 100
353, 353, 107
354, 354, 93
355, 355, 97
356, 356, 94
357, 357, 89
358, 358, 86
359, 359, 98
360, 360, 87
361, 361, 87
362, 362, 85
363, 363, 84
364, 364, 83
365, 365, 91
366, 366, 78
367, 367, 86
368, 368, 81
369, 369, 95
370, 370, 89
371, 371, 82
372, 372, 69
373, 373, 71
374, 374, 78
375, 375, 82
376, 376, 63
377, 377, 59
378, 378, 66
379, 379, 69
380, 380, 64
381, 381, 76
382, 382, 71
383, 383, 80
384, 384, 73
385, 385, 64
386, 386, 82
387, 387, 74
388, 388, 72
389, 389, 85
390, 390, 74
391, 391, 67
392, 392, 77
393, 393, 62
394, 394, 71
395, 395, 75
396, 396, 90
397, 397, 78
398, 398, 80
399, 399, 88
400, 400, 112
401, 401, 105
402, 402, 89
403, 403, 102
404, 404, 116
405, 405, 134
406, 406, 124
407, 407, 170
408, 408, 177
409, 409, 177
410, 410, 201
411, 411, 235
412, 412, 213
413, 413, 272
414, 414, 269
415, 415, 291
416, 416, 289
417, 417, 289
418, 418, 326
419, 419, 362
420, 420, 376
421, 421, 381
